id,cloudinary_image_id,created_at,image_url,thumbnail_url,type,updated_at
171906974126872,drinks/admin/product/SpicyMoch_product_1719069737331,2024-06-22 22:22:21.268,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069739/drinks/admin/product/SpicyMoch_product_1719069737331.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069739/drinks/admin/product/SpicyMoch_product_1719069737331",PRODUCT,2024-06-22 22:22:21.268
171906979553121,drinks/admin/product/PumpkinWhiteMoch_product_1719069791547,2024-06-22 22:23:15.531,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069793/drinks/admin/product/PumpkinWhiteMoch_product_1719069791547.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069793/drinks/admin/product/PumpkinWhiteMoch_product_1719069791547",PRODUCT,2024-06-22 22:23:15.531
171906985718184,drinks/admin/product/TurtleMoch_product_1719069852599,2024-06-22 22:24:17.181,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069855/drinks/admin/product/TurtleMoch_product_1719069852599.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069855/drinks/admin/product/TurtleMoch_product_1719069852599",PRODUCT,2024-06-22 22:24:17.181
171906992981037,drinks/admin/product/CampfireMoch_product_1719069926331,2024-06-22 22:25:29.810,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069928/drinks/admin/product/CampfireMoch_product_1719069926331.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069928/drinks/admin/product/CampfireMoch_product_1719069926331",PRODUCT,2024-06-22 22:25:29.810
171907001673856,drinks/admin/product/PeachBlackTe_product_1719070012770,2024-06-22 22:26:56.738,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719070015/drinks/admin/product/PeachBlackTe_product_1719070012770.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719070015/drinks/admin/product/PeachBlackTe_product_1719070012770",PRODUCT,2024-06-22 22:26:56.738
171907005826965,drinks/admin/product/GreenTeaLemonad_product_1719070054515,2024-06-22 22:27:38.269,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719070057/drinks/admin/product/GreenTeaLemonad_product_1719070054515.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719070057/drinks/admin/product/GreenTeaLemonad_product_1719070054515",PRODUCT,2024-06-22 22:27:38.269
171907010308688,drinks/admin/product/FrozenMatchaTe_product_1719070099702,2024-06-22 22:28:23.086,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719070102/drinks/admin/product/FrozenMatchaTe_product_1719070099702.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719070102/drinks/admin/product/FrozenMatchaTe_product_1719070099702",PRODUCT,2024-06-22 22:28:23.086
171907015827022,drinks/admin/product/RaspberryGreenTe_product_1719070154369,2024-06-22 22:29:18.270,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719070157/drinks/admin/product/RaspberryGreenTe_product_1719070154369.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719070157/drinks/admin/product/RaspberryGreenTe_product_1719070154369",PRODUCT,2024-06-22 22:29:18.270
171907021781411,drinks/admin/product/UnicornOfLov_product_1719070212952,2024-06-22 22:30:17.814,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719070215/drinks/admin/product/UnicornOfLov_product_1719070212952.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719070215/drinks/admin/product/UnicornOfLov_product_1719070212952",PRODUCT,2024-06-22 22:30:17.814
171907024075257,drinks/admin/product/BlueDonu_product_1719070236720,2024-06-22 22:30:40.752,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719070239/drinks/admin/product/BlueDonu_product_1719070236720.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719070239/drinks/admin/product/BlueDonu_product_1719070236720",PRODUCT,2024-06-22 22:30:40.752
171907027628555,drinks/admin/product/GlazeDonu_product_1719070271899,2024-06-22 22:31:16.285,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719070275/drinks/admin/product/GlazeDonu_product_1719070271899.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719070275/drinks/admin/product/GlazeDonu_product_1719070271899",PRODUCT,2024-06-22 22:31:16.285
